gesture_label,class_id,window_idx,subcarriers,window_size,mean_amplitude,amplitude_std,rssi_mean
sitting,0,0,64,4,8.77,7.31,-56.0
moving right,1,0,64,4,7.67,9.19,-60.333333333333336
swipe up,2,0,64,4,10.68,21.14,-48.0
raise hand,3,0,64,4,8.74,9.08,-48.5
